                      Texto 1   Texto 2   Texto 3
mir                  0.301030  0.000000  0.000000
mira                 0.301030  0.000000  0.000000
misma                0.301030  0.000000  0.000000
mismo                0.301030  0.000000  0.000000
mo                   0.000000  0.000000  0.301030
mont                 0.000000  0.301030  0.000000
monta                0.301030  0.000000  0.000000
morir                0.000000  0.301030  0.000000
mucha                0.000000  0.000000  0.301030
muchachos            0.301030  0.000000  0.000000
muchos               0.000000  0.000000  0.301030
muerte               0.000000  0.301030  0.000000
muestran             0.000000  0.000000  0.301030
mujeres              0.301030  0.000000  0.000000
mujica               0.000000  0.301030  0.000000
municipales          0.301030  0.000000  0.000000
muy                  0.000000  0.301030  0.301030
n                    0.778151  1.000000  1.000000
nacional             0.000000  0.301030  0.000000
narrativo            0.000000  0.301030  0.000000
nas                  0.000000  0.000000  0.477121
natural              0.000000  0.000000  0.301030
ncreas               0.000000  0.000000  0.301030
ndice                0.000000  0.000000  0.301030
ndolo                0.000000  0.301030  0.000000
ndose                0.477121  0.000000  0.000000
necesidad            0.301030  0.000000  0.000000
necesita             0.000000  0.000000  0.301030
nez                  0.000000  0.301030  0.000000
ni                   0.477121  0.301030  0.000000
nimo                 0.301030  0.000000  0.000000
nivel                0.000000  0.000000  0.301030
no                   0.698970  0.954243  0.602060
noches               0.000000  0.301030  0.000000
nopales              0.000000  0.301030  0.000000
nos                  0.602060  0.000000  0.000000
nosotros             0.477121  0.000000  0.000000
nostalgia            0.301030  0.000000  0.000000
ntas                 0.301030  0.000000  0.000000
ntos                 0.477121  0.000000  0.000000
nuestro              0.301030  0.000000  0.000000
nueve                0.301030  0.000000  0.000000
nuevo                0.000000  0.301030  0.000000
nunca                0.301030  0.000000  0.000000
nutricionista        0.000000  0.000000  0.301030
o                    0.903090  0.477121  0.845098
objetos              0.301030  0.000000  0.000000
obreros              0.301030  0.000000  0.000000
oeste                0.000000  0.301030  0.000000
oficiales            0.301030  0.000000  0.000000
ojitos               0.000000  0.301030  0.000000
ones                 0.000000  0.301030  0.000000
oras                 0.301030  0.000000  0.000000
orden                0.301030  0.000000  0.000000
organismo            0.000000  0.000000  0.301030
os                   0.602060  0.477121  0.000000
oscuros              0.000000  0.301030  0.000000
otra                 0.000000  0.301030  0.000000
otras                0.000000  0.000000  0.301030
otro                 0.301030  0.000000  0.477121
otros                0.301030  0.000000  0.000000
p                    0.301030  0.000000  0.698970
paciente             0.000000  0.000000  0.301030
