                      Texto 1   Texto 2   Texto 3
mente                0.000000  0.143628  0.000000
mercado              0.000000  0.000000  0.143628
meses                0.227645  0.000000  0.000000
mezquite             0.000000  0.143628  0.000000
mi                   0.403214  0.000000  0.000000
mico                 0.000000  0.000000  0.143628
mir                  0.143628  0.000000  0.000000
mira                 0.143628  0.000000  0.000000
misma                0.143628  0.000000  0.000000
mismo                0.143628  0.000000  0.000000
mo                   0.000000  0.000000  0.143628
mont                 0.000000  0.143628  0.000000
monta                0.143628  0.000000  0.000000
morir                0.000000  0.143628  0.000000
mucha                0.000000  0.000000  0.143628
muchachos            0.143628  0.000000  0.000000
muchos               0.000000  0.000000  0.143628
muerte               0.000000  0.143628  0.000000
muestran             0.000000  0.000000  0.143628
mujeres              0.143628  0.000000  0.000000
mujica               0.000000  0.143628  0.000000
municipales          0.143628  0.000000  0.000000
muy                  0.000000  0.053009  0.053009
n                    0.000000  0.000000  0.000000
nacional             0.000000  0.143628  0.000000
narrativo            0.000000  0.143628  0.000000
nas                  0.000000  0.000000  0.227645
natural              0.000000  0.000000  0.143628
ncreas               0.000000  0.000000  0.143628
ndice                0.000000  0.000000  0.143628
ndolo                0.000000  0.143628  0.000000
ndose                0.227645  0.000000  0.000000
necesidad            0.143628  0.000000  0.000000
necesita             0.000000  0.000000  0.143628
nez                  0.000000  0.143628  0.000000
ni                   0.084017  0.053009  0.000000
nimo                 0.143628  0.000000  0.000000
nivel                0.000000  0.000000  0.143628
no                   0.000000  0.000000  0.000000
noches               0.000000  0.143628  0.000000
nopales              0.000000  0.143628  0.000000
nos                  0.287256  0.000000  0.000000
nosotros             0.227645  0.000000  0.000000
nostalgia            0.143628  0.000000  0.000000
ntas                 0.143628  0.000000  0.000000
ntos                 0.227645  0.000000  0.000000
nuestro              0.143628  0.000000  0.000000
nueve                0.143628  0.000000  0.000000
nuevo                0.000000  0.143628  0.000000
nunca                0.143628  0.000000  0.000000
nutricionista        0.000000  0.000000  0.143628
o                    0.000000  0.000000  0.000000
objetos              0.143628  0.000000  0.000000
obreros              0.143628  0.000000  0.000000
oeste                0.000000  0.143628  0.000000
oficiales            0.143628  0.000000  0.000000
ojitos               0.000000  0.143628  0.000000
ones                 0.000000  0.143628  0.000000
oras                 0.143628  0.000000  0.000000
orden                0.143628  0.000000  0.000000
organismo            0.000000  0.000000  0.143628
os                   0.106018  0.084017  0.000000
oscuros              0.000000  0.143628  0.000000
otra                 0.000000  0.143628  0.000000
otras                0.000000  0.000000  0.143628
otro                 0.053009  0.000000  0.084017
otros                0.143628  0.000000  0.000000
p                    0.053009  0.000000  0.123083
paciente             0.000000  0.000000  0.143628
pacientes            0.000000  0.000000  0.287256
padecen              0.000000  0.000000  0.143628
padres               0.227645  0.000000  0.000000
palabras             0.053009  0.000000  0.053009
palm                 0.000000  0.143628  0.000000
para                 0.000000  0.000000  0.000000
parches              0.000000  0.143628  0.000000
parec                0.143628  0.000000  0.000000
parece               0.143628  0.000000  0.000000
pareci               0.227645  0.000000  0.000000
parque               0.000000  0.143628  0.000000
parte                0.000000  0.000000  0.227645
particular           0.000000  0.143628  0.000000
pasado               0.143628  0.000000  0.000000
pasados              0.143628  0.000000  0.000000
pasar                0.143628  0.000000  0.000000
pedos                0.000000  0.143628  0.000000
pens                 0.000000  0.143628  0.000000
pensamiento          0.000000  0.143628  0.000000
peque                0.053009  0.053009  0.000000
perboni              0.143628  0.000000  0.000000
period               0.000000  0.000000  0.143628
permite              0.000000  0.000000  0.143628
pero                 0.000000  0.000000  0.000000
persigue             0.000000  0.143628  0.000000
persona              0.000000  0.143628  0.000000
personaje            0.000000  0.143628  0.000000
personal             0.000000  0.143628  0.000000
persuadir            0.000000  0.000000  0.227645
pi                   0.000000  0.000000  0.143628
pices                0.143628  0.000000  0.000000
pidiendo             0.143628  0.000000  0.000000
piedra               0.000000  0.143628  0.000000
piso                 0.287256  0.000000  0.000000
planicies            0.000000  0.143628  0.000000
planta               0.000000  0.000000  0.143628
plantas              0.000000  0.143628  0.000000
plato                0.000000  0.000000  0.143628
plumas               0.143628  0.000000  0.000000
po                   0.000000  0.143628  0.000000
poca                 0.000000  0.143628  0.000000
pod                  0.000000  0.143628  0.000000
pol                  0.000000  0.000000  0.143628
ponen                0.000000  0.000000  0.143628
poner                0.143628  0.000000  0.000000
por                  0.000000  0.000000  0.000000
porque               0.000000  0.053009  0.123083
posici               0.000000  0.000000  0.143628
potrillos            0.143628  0.000000  0.000000
pr                   0.143628  0.000000  0.000000
preciso              0.143628  0.000000  0.000000
predominantemente    0.000000  0.143628  0.000000
preguntaron          0.000000  0.143628  0.000000
premio               0.143628  0.000000  0.000000
presentan            0.000000  0.000000  0.143628
pretende             0.000000  0.143628  0.000000
preventiva           0.000000  0.000000  0.143628
primer               0.287256  0.000000  0.000000
primera              0.143628  0.000000  0.000000
primero              0.053009  0.000000  0.053009
principal            0.053009  0.000000  0.053009
prisa                0.000000  0.143628  0.000000
problem              0.000000  0.000000  0.143628
procesada            0.000000  0.000000  0.143628
procesar             0.000000  0.000000  0.143628
procurar             0.000000  0.000000  0.143628
producci             0.000000  0.000000  0.143628
produciendo          0.143628  0.000000  0.000000
producir             0.000000  0.000000  0.143628
profesor             0.143628  0.000000  0.000000
profesora            0.227645  0.000000  0.000000
propia               0.000000  0.143628  0.000000
prote                0.000000  0.000000  0.227645
provoca              0.000000  0.143628  0.000000
pueblo               0.143628  0.000000  0.000000
pueblos              0.000000  0.143628  0.000000
puede                0.000000  0.000000  0.227645
puerta               0.227645  0.000000  0.000000
puertas              0.143628  0.000000  0.000000
puesto               0.143628  0.000000  0.000000
pulos                0.143628  0.000000  0.000000
punto                0.000000  0.000000  0.143628
puntos               0.000000  0.000000  0.143628
qu                   0.143628  0.000000  0.000000
que                  0.000000  0.000000  0.000000
qued                 0.143628  0.000000  0.000000
quer                 0.000000  0.143628  0.000000
quien                0.000000  0.000000  0.143628
quienes              0.000000  0.000000  0.227645
quiere               0.000000  0.000000  0.143628
quince               0.143628  0.000000  0.000000
quisiera             0.143628  0.000000  0.000000
quiz                 0.000000  0.000000  0.143628
r                    0.143628  0.000000  0.000000
ranchos              0.000000  0.143628  0.000000
