      Texto 1   Texto 2   Texto 3
igr  0.000000  0.698970  0.000000
igu  0.698970  0.301030  0.477121
ihe  0.301030  0.000000  0.000000
ija  0.301030  0.301030  0.000000
ijo  0.602060  0.301030  0.000000
ila  0.301030  0.477121  0.301030
ile  0.000000  0.301030  0.000000
ili  0.301030  0.000000  0.000000
ill  0.477121  0.301030  0.000000
ima  0.602060  0.301030  0.000000
ime  0.778151  0.000000  0.602060
imn  0.000000  0.301030  0.000000
imo  0.301030  0.000000  0.000000
imp  0.301030  0.301030  0.477121
imu  0.000000  0.477121  0.000000
ina  0.477121  0.477121  1.000000
inb  0.477121  0.000000  0.000000
inc  0.698970  0.000000  0.698970
ind  0.301030  0.477121  0.477121
ine  0.477121  0.301030  0.477121
ing  0.000000  0.301030  0.000000
inl  0.000000  0.301030  0.301030
inm  0.000000  0.698970  0.000000
inn  0.000000  0.301030  0.000000
ino  0.000000  0.301030  0.301030
inp  0.000000  0.477121  0.000000
ins  0.301030  0.477121  0.698970
int  0.301030  0.301030  0.602060
inu  0.000000  0.000000  0.477121
iny  0.000000  0.000000  0.301030
ioc  0.301030  0.000000  0.000000
iod  0.301030  0.000000  0.477121
ioe  0.000000  0.301030  0.000000
ioh  0.000000  0.301030  0.000000
ion  0.602060  0.602060  0.477121
ioq  0.301030  0.000000  0.000000
ior  0.698970  0.301030  0.000000
ios  0.301030  0.602060  0.000000
iot  0.000000  0.301030  0.000000
iov  0.301030  0.000000  0.000000
ipa  0.698970  0.000000  0.301030
ipc  0.000000  0.301030  0.000000
ipl  0.000000  0.000000  0.477121
ipo  0.000000  0.000000  0.301030
ipr  0.301030  0.000000  0.000000
ipt  0.000000  0.698970  0.000000
iqu  0.954243  0.000000  0.000000
ira  0.602060  0.301030  0.477121
irc  0.477121  0.000000  0.000000
ire  0.301030  0.477121  0.477121
irl  0.000000  0.301030  0.000000
irm  0.301030  0.000000  0.477121
irn  0.000000  0.301030  0.000000
iro  0.000000  0.000000  0.301030
irp  0.000000  0.000000  0.301030
irs  0.000000  0.301030  0.301030
iry  0.301030  0.301030  0.000000
isa  0.000000  0.301030  0.000000
isc  0.301030  0.000000  0.602060
ise  0.477121  0.000000  0.000000
isi  0.602060  0.698970  0.000000
ism  0.477121  0.301030  0.477121
iso  0.698970  0.301030  0.000000
ist  0.477121  0.602060  0.602060
isu  0.000000  0.301030  0.000000
isy  0.000000  0.000000  0.301030
ita  0.000000  0.301030  0.698970
ite  0.000000  0.845098  0.301030
iti  0.301030  0.477121  0.000000
itn  0.477121  0.000000  0.000000
ito  0.477121  0.602060  0.000000
itu  0.000000  0.301030  0.000000
iva  0.000000  0.301030  0.477121
ive  0.000000  0.000000  0.301030
ivi  0.000000  0.301030  0.000000
ivo  0.000000  0.778151  0.602060
iza  0.000000  0.477121  0.000000
izl  0.000000  0.000000  0.301030
izo  0.301030  0.000000  0.000000
jab  0.301030  0.000000  0.000000
jad  0.000000  0.000000  0.301030
jae  0.000000  0.000000  0.301030
