      Texto 1   Texto 2   Texto 3
has  0.000000  0.053009  0.084017
hat  0.000000  0.000000  0.143628
hay  0.000000  0.000000  0.143628
hea  0.143628  0.000000  0.000000
her  0.000000  0.000000  0.000000
hes  0.000000  0.227645  0.000000
hic  0.227645  0.000000  0.000000
hid  0.000000  0.000000  0.227645
hij  0.143628  0.000000  0.000000
hiq  0.143628  0.000000  0.000000
hom  0.053009  0.053009  0.000000
hon  0.000000  0.143628  0.000000
hop  0.000000  0.000000  0.143628
hor  0.000000  0.000000  0.000000
hos  0.000000  0.000000  0.000000
hpe  0.000000  0.143628  0.000000
hum  0.000000  0.287256  0.000000
iab  0.053009  0.000000  0.159026
iad  0.000000  0.000000  0.000000
ial  0.000000  0.000000  0.000000
iam  0.143628  0.000000  0.000000
ian  0.227645  0.000000  0.000000
iaq  0.000000  0.000000  0.143628
iar  0.084017  0.053009  0.000000
ias  0.053009  0.053009  0.000000
iav  0.000000  0.143628  0.000000
iay  0.000000  0.053009  0.053009
iba  0.227645  0.000000  0.000000
ibe  0.000000  0.123083  0.053009
ibi  0.053009  0.106018  0.000000
ibl  0.000000  0.053009  0.053009
ibr  0.227645  0.000000  0.000000
ibu  0.000000  0.000000  0.143628
ica  0.000000  0.148814  0.106018
ice  0.053009  0.000000  0.053009
ich  0.000000  0.000000  0.143628
ici  0.000000  0.000000  0.000000
icm  0.000000  0.000000  0.143628
ico  0.000000  0.000000  0.000000
icu  0.000000  0.143628  0.000000
ida  0.000000  0.000000  0.000000
ide  0.000000  0.053009  0.106018
idi  0.143628  0.000000  0.000000
ido  0.053009  0.123083  0.000000
idr  0.000000  0.000000  0.227645
iec  0.143628  0.000000  0.000000
ied  0.000000  0.053009  0.106018
iel  0.000000  0.000000  0.143628
iem  0.000000  0.000000  0.000000
ien  0.000000  0.000000  0.000000
ier  0.000000  0.000000  0.000000
ies  0.000000  0.053009  0.084017
iet  0.084017  0.000000  0.148814
iez  0.143628  0.000000  0.000000
ifc  0.000000  0.143628  0.000000
iga  0.053009  0.000000  0.053009
igb  0.000000  0.143628  0.000000
ign  0.000000  0.287256  0.000000
igo  0.000000  0.143628  0.000000
igr  0.000000  0.333493  0.000000
igu  0.000000  0.000000  0.000000
ihe  0.143628  0.000000  0.000000
ija  0.053009  0.053009  0.000000
ijo  0.106018  0.053009  0.000000
ila  0.000000  0.000000  0.000000
ile  0.000000  0.143628  0.000000
ili  0.143628  0.000000  0.000000
ill  0.084017  0.053009  0.000000
ima  0.106018  0.053009  0.000000
ime  0.137026  0.000000  0.106018
imn  0.000000  0.143628  0.000000
imo  0.143628  0.000000  0.000000
imp  0.000000  0.000000  0.000000
imu  0.000000  0.227645  0.000000
ina  0.000000  0.000000  0.000000
inb  0.227645  0.000000  0.000000
inc  0.123083  0.000000  0.123083
ind  0.000000  0.000000  0.000000
ine  0.000000  0.000000  0.000000
ing  0.000000  0.143628  0.000000
inl  0.000000  0.053009  0.053009
inm  0.000000  0.333493  0.000000
inn  0.000000  0.143628  0.000000
ino  0.000000  0.053009  0.053009
inp  0.000000  0.227645  0.000000
ins  0.000000  0.000000  0.000000
int  0.000000  0.000000  0.000000
inu  0.000000  0.000000  0.227645
iny  0.000000  0.000000  0.143628
ioc  0.143628  0.000000  0.000000
iod  0.053009  0.000000  0.084017
ioe  0.000000  0.143628  0.000000
ioh  0.000000  0.143628  0.000000
ion  0.000000  0.000000  0.000000
ioq  0.143628  0.000000  0.000000
ior  0.123083  0.053009  0.000000
ios  0.053009  0.106018  0.000000
iot  0.000000  0.143628  0.000000
iov  0.143628  0.000000  0.000000
ipa  0.123083  0.000000  0.053009
ipc  0.000000  0.143628  0.000000
ipl  0.000000  0.000000  0.227645
ipo  0.000000  0.000000  0.143628
ipr  0.143628  0.000000  0.000000
ipt  0.000000  0.333493  0.000000
iqu  0.455289  0.000000  0.000000
ira  0.000000  0.000000  0.000000
irc  0.227645  0.000000  0.000000
ire  0.000000  0.000000  0.000000
irl  0.000000  0.143628  0.000000
irm  0.053009  0.000000  0.084017
irn  0.000000  0.143628  0.000000
